predicted_species,random_intercept,random_intercept_se,random_score_slope,random_score_slope_se,validation_n,validation_events,confirmation_rate,score_min,score_max,model_id
Common Swift,0.023472354174273475,1.5127320195030118,0.1868184602570849,0.7920134749963694,2,2,0.5,0.553375,0.83866423,M4
Common Tern,-0.20005392039188524,2.0860163029815975,0.005136699350743569,0.8615945254851752,1,1,0,0.4552941,0.4552941,M4
Common Waxbill,-0.98983155627183,1.6348570411531353,-0.006397675773184016,0.8613553504443296,4,4,0,0.474183,0.53957665,M4
Common Wood-Pigeon,1.8511136568155826,0.8454968416493406,0.08922574116365291,0.8251361011636863,6,6,0.6666666666666666,0.48999977,0.8044104,M4
Corn Bunting,0.3120871670874886,1.1719648820850532,0.2814857848528679,0.798756661023613,4,4,0.5,0.50836205,0.89705837,M4
Corsican Finch,-1.5665453148428923,1.5498642987957791,-0.21101106014129545,0.8136306921632637,4,4,0,0.46685046,0.78294885,M4
Corsican Nuthatch,-1.2286070682030223,1.5616826260309267,-0.05587370731727633,0.8557180537765463,4,4,0,0.52140296,0.6368446,M4
Crested Lark,-1.4115561363331575,1.5481172014835773,-0.13482775025105947,0.833699493396219,4,4,0,0.45640486,0.73296916,M4
Crested Tit,-1.2488172682004073,1.5493740342224709,-0.045320348745165946,0.8528747027139343,6,6,0,0.45711654,0.6453948,M4
Dartford Warbler,2.5104902445451462,1.372716360274679,0.16753165886545762,0.8530428991617478,2,2,1,0.6076001,0.62646157,M4
Dunnock,1.1130426889040954,1.2931799967810989,0.267985298826598,0.8020475526441682,5,5,0.8,0.4523382,0.9849,M4
Egyptian Goose,0.18125515243034668,2.1273034658376146,0.07252793943084358,0.7980295466220062,1,1,1,0.9423639,0.9423639,M4
Eurasian Blackbird,1.944640610614619,1.5370370515470702,0.08588897718235859,0.8587113503523026,1,1,1,0.57650036,0.57650036,M4
Eurasian Blackcap,4.0039801509957105,1.069764640746824,0.0664791200738352,0.8481302354808619,10,10,1,0.46237567,0.9652659,M4
Eurasian Blue Tit,3.413440782097527,0.8238918749284748,0.14396845369439595,0.783726930959859,32,32,0.96875,0.46138903,0.98658746,M4
Eurasian Bullfinch,3.4089308336627964,0.8194309198881049,-0.3184054213733538,0.8261643369938674,10,10,0.9,0.4591707,0.9031379,M4
Eurasian Collared-Dove,1.966979613887471,0.8421638619301727,0.2748824496085448,0.8244767064753822,6,6,0.6666666666666666,0.46943185,0.7600015,M4
Eurasian Coot,0.8608459931093569,1.1028171731547207,-0.20897502591614617,0.7736270112731761,4,4,0.5,0.46707198,0.84926534,M4
Eurasian Crag-Martin,-0.7282324552875173,1.761873460355368,-0.014491768396195825,0.8603542462719512,2,2,0,0.47906828,0.5639985,M4
Eurasian Curlew,0.5474310711262277,0.945072208859403,-0.22556849734416753,0.7702109441013582,6,6,0.3333333333333333,0.4605702,0.7786372,M4
Eurasian Dotterel,-0.6606833943445009,1.7918088532010203,-0.004115904181978111,0.861179153280866,2,2,0,0.46718857,0.5367613,M4
Eurasian Eagle-Owl,-1.2206451701276944,1.5725740210589758,-0.0868539585017678,0.8477250137893875,4,4,0,0.48528132,0.6926492,M4
Eurasian Golden Oriole,-0.2665147423273578,1.128030975354489,0.34582766235711315,0.7643037683732572,6,6,0.3333333333333333,0.46687627,0.9003473,M4
Eurasian Green Woodpecker,3.795477746165855,0.7878396564075708,0.23877383019295273,0.7910585080713993,36,36,0.9722222222222222,0.46008307,0.9932766,M4
Eurasian Hobby,-0.3481876764119632,1.1061458798332613,0.35614914526010605,0.7911039561304833,6,6,0.16666666666666666,0.47218248,0.7800037,M4
Eurasian Hoopoe,-0.33479931028203186,1.1920421054217767,0.1992679678892658,0.8014686427403753,4,4,0.25,0.48410422,0.76691294,M4
Eurasian Jackdaw,3.452991835900525,0.6722498362834788,0.44710074820081,0.7651066055622394,42,42,0.9523809523809523,0.45143342,0.99221826,M4
Eurasian Jay,0.6638942180738,1.8705699299337493,0.14755104263263052,0.8119395359100771,2,2,1,0.8250537,0.99571145,M4
Eurasian Kestrel,0.027813056838602353,2.2482729463868782,0.014372267112013845,0.8410602165467962,1,1,1,0.97362196,0.97362196,M4
Eurasian Linnet,0.2645664103995371,1.0851537749467373,0.20676343772709485,0.8457514606764611,4,4,0.25,0.49634996,0.64814574,M4
Eurasian Magpie,-0.22759894916429063,1.5295877358476366,0.11424915988073943,0.7836849778388925,4,4,0.75,0.6816606,0.99471515,M4
Eurasian Moorhen,2.846822718275233,1.278633733175311,0.11511198690461477,0.8489728091157424,4,4,1,0.5231666,0.95958287,M4
