scenario,scenario_label,year_month,q,q_label,mean,sd,median,lower_95,upper_95
Primary_M2,Primary M2: pooled,2022-08,2,q = 2: Inverse Simpson,9.320410820386515,0.6176821111677154,9.313669411548382,8.156927865485816,10.534402159317125
Primary_M2,Primary M2: pooled,2022-09,0,q = 0: Richness,75.964,3.81802059728353,76,68.34166666666667,84
Primary_M2,Primary M2: pooled,2022-09,1,q = 1: Exponential Shannon,9.51067965779263,0.22533838380808296,9.513678102470763,9.077286488984837,9.956464608725415
Primary_M2,Primary M2: pooled,2022-09,2,q = 2: Inverse Simpson,5.018878664910235,0.08362386096558841,5.018937547141495,4.858817676607414,5.192603813345482
Primary_M2,Primary M2: pooled,2022-10,0,q = 0: Richness,77.588,3.407619090782869,78,71,84
Primary_M2,Primary M2: pooled,2022-10,1,q = 1: Exponential Shannon,8.74435455221558,0.21288264132891996,8.742264028180482,8.351112113995274,9.163374632568775
Primary_M2,Primary M2: pooled,2022-10,2,q = 2: Inverse Simpson,4.441091005235357,0.07663821382858291,4.439959368981151,4.294354065477459,4.589078132127686
Primary_M2,Primary M2: pooled,2022-11,0,q = 0: Richness,60.221,3.0517982358721674,60,54.34166666666667,66
Primary_M2,Primary M2: pooled,2022-11,1,q = 1: Exponential Shannon,8.183650248313773,0.2172072677405134,8.183297514578943,7.736633547460631,8.590455139679282
Primary_M2,Primary M2: pooled,2022-11,2,q = 2: Inverse Simpson,3.7441591341513285,0.08326237081707054,3.7431662758013893,3.5891570966739623,3.90695720734054
Primary_M2,Primary M2: pooled,2022-12,0,q = 0: Richness,47.768,2.9827961836292256,48,42,54
Primary_M2,Primary M2: pooled,2022-12,1,q = 1: Exponential Shannon,7.960375803839237,0.3336254726392323,7.949785759535913,7.335750205525724,8.634737806586404
Primary_M2,Primary M2: pooled,2022-12,2,q = 2: Inverse Simpson,3.5947778656362512,0.12327270619169647,3.5946967104480496,3.3640301840953617,3.8501666529414376
Primary_M2,Primary M2: pooled,2023-01,0,q = 0: Richness,47.593,2.9953836688015985,48,41,53
Primary_M2,Primary M2: pooled,2023-01,1,q = 1: Exponential Shannon,7.844613566191721,0.3172066317101581,7.842529771929563,7.231017043716789,8.449816839330245
Primary_M2,Primary M2: pooled,2023-01,2,q = 2: Inverse Simpson,3.7287017895748034,0.1205234820268417,3.7254616715229467,3.4861718375444295,3.956366755433102
Primary_M2,Primary M2: pooled,2023-02,0,q = 0: Richness,71.794,3.01141704727735,72,66,78
Primary_M2,Primary M2: pooled,2023-02,1,q = 1: Exponential Shannon,7.79877180386087,0.20741319294600669,7.7955601120225175,7.4049821865771435,8.221222247675826
Primary_M2,Primary M2: pooled,2023-02,2,q = 2: Inverse Simpson,3.6364279176263596,0.06696948678048716,3.634407651061018,3.508426496578207,3.777148770021877
Primary_M2,Primary M2: pooled,2023-03,0,q = 0: Richness,82.16,3.5621747695879673,82,75,90
Primary_M2,Primary M2: pooled,2023-03,1,q = 1: Exponential Shannon,9.482009808757983,0.18955460538826413,9.47605566035725,9.087228367777037,9.837004152294783
Primary_M2,Primary M2: pooled,2023-03,2,q = 2: Inverse Simpson,4.973391856304811,0.07024022541406119,4.971131224247724,4.833382678225872,5.105393457179322
Primary_M2,Primary M2: pooled,2023-04,0,q = 0: Richness,101.122,3.751691777210808,101,94,109
Primary_M2,Primary M2: pooled,2023-04,1,q = 1: Exponential Shannon,14.949398986951191,0.29498265821944325,14.95308750228337,14.34198655509135,15.508237331318682
Primary_M2,Primary M2: pooled,2023-04,2,q = 2: Inverse Simpson,7.780702554327805,0.1368841929590044,7.7873847866245605,7.502285013173299,8.048833060158826
Primary_M2,Primary M2: pooled,2023-05,0,q = 0: Richness,97.049,4.0537676341931626,97,89,105
Primary_M2,Primary M2: pooled,2023-05,1,q = 1: Exponential Shannon,10.825055278997382,0.22767536504347802,10.821824051521741,10.386875430149015,11.280824069036287
Primary_M2,Primary M2: pooled,2023-05,2,q = 2: Inverse Simpson,5.49156212769816,0.09826021710911705,5.4944022831380845,5.296669361117986,5.700368048307888
Primary_M2,Primary M2: pooled,2023-06,0,q = 0: Richness,96.231,3.8977983313444824,96,88,104
Primary_M2,Primary M2: pooled,2023-06,1,q = 1: Exponential Shannon,10.521914817351758,0.2148423196916056,10.514462284285537,10.11871269176151,10.94438622022042
Primary_M2,Primary M2: pooled,2023-06,2,q = 2: Inverse Simpson,4.992571378862852,0.07472387764407007,4.993611193978995,4.852045447759774,5.144695569419503
Primary_M2,Primary M2: pooled,2023-07,0,q = 0: Richness,73.457,3.3128727905137145,73,67,79
Primary_M2,Primary M2: pooled,2023-07,1,q = 1: Exponential Shannon,17.768328574113173,0.6359852112007905,17.755466218477387,16.595817269456035,19.112513766691947
Primary_M2,Primary M2: pooled,2023-07,2,q = 2: Inverse Simpson,8.286095575582756,0.320146744337636,8.278730935707028,7.675265245103131,8.963966406947135
Primary_M2,Primary M2: pooled,2023-08,0,q = 0: Richness,24.657,1.9918128221091254,25,21,29
Primary_M2,Primary M2: pooled,2023-08,1,q = 1: Exponential Shannon,14.202722280415854,1.1521345718559992,14.186076136370524,11.984451295579095,16.559465811954766
Primary_M2,Primary M2: pooled,2023-08,2,q = 2: Inverse Simpson,9.398639997147049,0.8578284281661521,9.370297334078138,7.830182653586766,11.193824325404371
Primary_M2,Primary M2: pooled,2023-10,0,q = 0: Richness,39.904,2.578261319461515,40,35,45
Primary_M2,Primary M2: pooled,2023-10,1,q = 1: Exponential Shannon,14.280655598041797,0.7164831792976261,14.278512860152478,12.892396067860297,15.70466732327339
Primary_M2,Primary M2: pooled,2023-10,2,q = 2: Inverse Simpson,7.746557733042632,0.38844644846481496,7.732213827266106,7.040137473838115,8.54443186310954
Primary_M2,Primary M2: pooled,2023-11,0,q = 0: Richness,42.33,2.5213999003445404,42,37,47
Primary_M2,Primary M2: pooled,2023-11,1,q = 1: Exponential Shannon,20.19040179988321,1.1627472481220567,20.18974733161297,17.90146127500065,22.470462530235686
Primary_M2,Primary M2: pooled,2023-11,2,q = 2: Inverse Simpson,12.005356150557372,0.8405469351689291,11.984148379238874,10.456551306538147,13.824095778485908
Primary_M2,Primary M2: pooled,2023-12,0,q = 0: Richness,30.044,2.373119401904526,30,25,35
Primary_M2,Primary M2: pooled,2023-12,1,q = 1: Exponential Shannon,13.209168643491637,1.146389017200535,13.192593799632354,11.070987860381347,15.520828954542601
Primary_M2,Primary M2: pooled,2023-12,2,q = 2: Inverse Simpson,6.207955324167948,0.636826765111235,6.158948148578,5.050627761671867,7.487659516446364
Primary_M2,Primary M2: pooled,2024-01,0,q = 0: Richness,29.829,2.3236088651402067,30,25,34.6583333333333
Primary_M2,Primary M2: pooled,2024-01,1,q = 1: Exponential Shannon,13.207184604309308,0.8861715268313213,13.212383682835217,11.512132969164849,14.960490016193837
Primary_M2,Primary M2: pooled,2024-01,2,q = 2: Inverse Simpson,7.985847789529055,0.5787344065847806,7.976807181269839,6.86200621093516,9.17531777040756
Primary_M2,Primary M2: pooled,2024-02,0,q = 0: Richness,56.485,3.3407986973081654,56,50,63
Primary_M2,Primary M2: pooled,2024-02,1,q = 1: Exponential Shannon,10.733560087148103,0.4458598604301838,10.693216918727463,9.929564185266715,11.681746503243744
Primary_M2,Primary M2: pooled,2024-02,2,q = 2: Inverse Simpson,4.42242223198399,0.16397261521988185,4.417337382179543,4.145683659069754,4.760463131962543
Primary_M2,Primary M2: pooled,2024-03,0,q = 0: Richness,80.279,3.654382781471245,80,73,87
Primary_M2,Primary M2: pooled,2024-03,1,q = 1: Exponential Shannon,12.391179294343056,0.27238374131924775,12.391797346201983,11.849136727282982,12.920775404206495
Primary_M2,Primary M2: pooled,2024-03,2,q = 2: Inverse Simpson,7.141208061199885,0.11280529164723309,7.140927121740161,6.921036957711328,7.362633551885841
Primary_M2,Primary M2: pooled,2024-04,0,q = 0: Richness,62.474,3.289398751161699,63,56,69
Primary_M2,Primary M2: pooled,2024-04,1,q = 1: Exponential Shannon,8.782270223201754,0.23432998365584642,8.786733980767576,8.329833468576817,9.224039593269147
